Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5015-1,2014-04-01,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,2014-04-02,$156.50,$300.97,$144.47,3.0,"$1,602.02",0.1,$144.41,"$1,513.83",$7.18,"$1,533.62"
5016-1,2013-02-11,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2013-02-12,$2.39,$4.26,$1.87,18.0,$123.54,0.06,$3.71,$119.83,$1.20,$121.03
5018-1,2013-12-29,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,2013-12-22,$54.29,$90.48,$36.19,1.0,"$1,029.50",0.02,$30.82,"$1,762.54",$19.99,"$1,740.57"
5019-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,2013-11-20,$2.29,$3.69,$1.40,34.0,$205.60,0.02,$6.16,$193.54,$0.50,$199.40
5019-1,2013-02-13,Susan Vittorini,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-02-15,$3.75,$7.08,$3.33,33.0,$725.82,0.08,$58.07,$667.75,$2.35,$694.05
5019-1,2013-02-13,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013-02-15,$75.00,$120.97,$45.97,27.0,$725.82,0.08,$58.07,$657.75,$26.30,$694.05
5020-1,2015-05-11,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,2015-05-13,$0.90,$2.10,$1.20,49.0,$35.70,0.05,$1.07,$34.63,$0.70,$35.33
5021-1,2015-05-18,Brian DeCherney,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,2015-05-25,$10.07,$15.98,$5.91,24.0,$139.20,0.01,$5.35,$132.97,$4.00,$139.46
5021-1,2014-06-23,Frank Hawley,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2014-06-23,$1.59,$2.61,$1.02,22.0,$23.60,0.07,$1.51,$23.63,$0.50,$23.46
5021-1,2013-10-20,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,2013-10-20,$0.94,$1.88,$0.94,24.0,$25.80,0.06,$0.16,$23.63,$0.79,$26.46
5022-1,2013-02-22,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,2013-02-23,$156.50,$300.97,$144.47,49.0,$723.84,0.07,$50.67,$673.17,$7.18,$693.16
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,2013-02-22,$1.09,$2.60,$1.51,8.0,$122.20,0.0,$12.22,$109.98,$2.40,$112.38
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,2013-02-22,$1.09,$2.60,$1.51,21.0,$122.20,0.05,$12.22,$109.98,$2.40,$112.38
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,2013-02-22,$1.09,$2.60,$1.51,37.0,$122.20,0.1,$12.22,$109.98,$2.40,$112.38
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,2013-02-22,$8.82,$20.99,$12.17,24.0,$122.20,0.07,$12.22,$109.98,$4.81,$112.38
5023-1,2014-06-04,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2014-06-05,$8.82,$20.99,$12.17,29.0,$122.20,0.07,$12.22,$109.98,$4.81,$112.38
5024-1,2015-05-22,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Express Air,2015-05-24,$4.53,$7.30,$2.77,14.0,$285.14,0.02,$2.95,$265.55,$7.72,$274.97
5024-1,2014-10-13,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2014-10-15,$3.40,$5.40,$2.00,42.0,$146.60,0.01,$14.58,$134.01,$7.78,$143.72
5024-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,2013-02-20,$99.39,$162.93,$63.54,48.0,"$5,213.76",0.02,$469.24,"$4,744.52",$19.99,"$4,764.51"
5024-1,2013-12-09,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,High,Multimedia Mailers,Technology,Small Box,Express Air,2013-12-09,$99.39,$162.93,$63.54,40.0,"$4,099.50",0.03,$419.00,"$4,795.52",$19.99,"$4,592.51"
5024-1,2014-09-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,2014-09-04,$4.79,$11.97,$7.18,41.0,$242.08,0.05,$14.24,$230.51,$5.81,$233.95
5024-1,2014-02-25,Bebby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,2014-02-26,$21.56,$36.55,$14.99,22.0,$85.28,0.1,$6.82,$78.46,$13.89,$79.44
5024-1,2013-02-18,Sean Wendt,"155 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013-02-20,$99.39,$162.93,$63.54,47.0,"$5,213.76",0.09,$469.24,"$4,744.52",$19.99,"$4,764.51"
5024-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Consumer,Phoebe Gour,High,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013-02-20,$99.39,$162.93,$63.54,50.0,"$5,213.76",0.07,$469.24,"$4,744.52",$19.99,"$4,764.51"
5024-1,2015-02-18,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,Technology,Medium Box,Regular Air,2015-02-21,$2.45,$3.89,$1.44,8.0,$66.36,0.09,$3.96,$62.38,$7.01,$69.36
5025-1,2015-06-08,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2015-06-09,$1.09,$1.68,$0.59,1.0,$55.44,0.0,$2.22,$53.22,$1.00,$54.22
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,$1.09,$1.68,$0.59,34.0,$55.44,0.1,$2.22,$53.22,$1.00,$54.22
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,$1.09,$1.68,$0.59,18.0,$55.44,0.08,$2.22,$53.22,$1.00,$54.22
5025-1,2015-07-23,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,2015-07-30,$60.59,$100.98,$40.39,14.0,"$4,533.86",0.1,$66.80,"$4,343.52",$7.18,"$4,371.54"
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013-02-22,$1.09,$1.68,$0.59,29.0,$55.44,0.03,$2.22,$53.22,$1.00,$54.22
5025-1,2013-02-20,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,2013-02-22,$1.09,$1.68,$0.59,39.0,$55.44,0.07,$2.22,$53.22,$1.00,$54.22
5025-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2013-08-17,$8.82,$20.99,$12.17,16.0,$49.36,0.02,$3.96,$48.66,$4.81,$44.56
5025-1,2013-10-03,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-10-04,$4.59,$7.28,$2.69,19.0,$533.72,0.04,$36.53,$428.51,$11.15,$330.99
5025-1,2014-09-12,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Jumbo Drum,Delivery Truck,2014-09-19,$156.50,$300.97,$144.47,4.0,"$4,759.68",0.06,$39.30,"$4,733.52",$7.18,"$4,740.51"
5025-1,2014-07-30,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,2014-08-01,$1.18,$1.88,$0.70,39.0,$35.70,0.09,$3.51,$34.53,$1.49,$35.33
5026-1,2013-05-21,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,Technology,Small Pack,Regular Air,2013-05-23,$0.93,$1.48,$0.55,16.0,$25.06,0.0,$2.56,$22.60,$0.70,$24.29
5026-1,2013-05-31,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2013-06-02,$1.59,$2.61,$1.02,41.0,$23.29,0.05,$1.61,$22.29,$0.50,$22.69
5027-1,2013-07-29,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,2013-07-30,$2.45,$3.89,$1.44,29.0,$542.12,0.04,$41.26,$425.70,$7.01,$430.59
5027-1,2014-01-13,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2014-01-18,$1.59,$2.61,$1.02,45.0,$127.29,0.06,$12.72,$122.76,$0.50,$123.17
5027-1,2013-10-25,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,Technology,Large Box,Regular Air,2013-10-27,$5.19,$12.98,$7.79,10.0,$530.60,0.01,$43.56,$514.48,$3.14,$523.02
5027-1,2013-10-13,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013-10-13,$75.00,$120.97,$45.97,31.0,$929.96,0.06,$76.80,$825.36,$26.30,$744.63
5027-1,2016-01-19,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,2016-01-19,$10.07,$15.98,$5.91,4.0,$799.42,0.02,$59.92,$770.46,$4.00,$784.64
5027-1,2013-07-22,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Pack,Regular Air,2013-07-26,$156.50,$300.97,$144.47,9.0,"$5,799.50",0.07,$264.99,"$5,579.53",$7.18,"$5,550.43"
5027-1,2013-02-22,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,2013-02-28,$21.56,$35.94,$14.38,11.0,$723.84,0.01,$50.67,$673.17,$6.66,$693.16
5028-1,2015-06-19,Fredhen Memon,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,2015-06-21,$2.98,$5.84,$2.86,7.0,$34.46,0.01,$2.24,$30.66,$0.83,$34.43
5028-1,2013-10-09,Frank Merwin,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,Furniture,Large Box,Regular Air,2013-10-11,$1.84,$2.88,$1.04,17.0,$26.62,0.0,$0.17,$26.53,$0.99,$26.46
5029-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,2013-02-23,$5.33,$8.60,$3.27,22.0,$412.80,0.07,$0.00,$412.80,$6.19,$418.99
5029-1,2014-06-02,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Technology,Medium Box,Regular Air,2014-06-04,$1.59,$2.61,$1.02,7.0,$209.90,0.03,$0.00,$209.90,$0.50,$214.77
5029-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,2013-02-23,$5.33,$8.60,$3.27,13.0,$412.80,0.04,$0.00,$412.80,$6.19,$418.99
5029-1,2015-11-12,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,2015-11-14,$54.29,$90.48,$36.19,40.0,"$4,564.22",0.1,$377.64,"$4,113.59",$19.99,"$4,193.93"
5029-1,2013-05-20,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-05-22,$5.33,$8.60,$3.27,19.0,$412.80,0.1,$0.00,$412.80,$6.19,$418.99
5032-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,2013-11-20,$16.85,$27.18,$10.33,32.0,$632.36,0.06,$68.76,$663.38,$8.23,$690.33
5032-1,2013-12-16,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-12-19,$1.84,$2.88,$1.04,22.0,$127.92,0.01,$10.16,$122.66,$0.99,$123.06
5033-1,2013-02-25,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,2013-02-27,$54.29,$90.48,$36.19,42.0,$271.44,0.05,$8.14,$263.30,$19.99,$283.29
5034-1,2013-06-05,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-06-05,$1.84,$2.88,$1.04,32.0,$201.90,0.05,$8.00,$193.54,$0.99,$199.04
5034-1,2015-08-10,Nora Price,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Preston Senome,Medium,Ames Color-File Green Diamond Border X-ray Mailers,Technology,Small Box,Express Air,2015-08-13,$52.07,$83.98,$31.91,22.0,"$2,752.32",0.07,$188.46,"$2,668.30",$5.01,"$2,692.15"
5034-1,2014-09-23,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 474 Labels,Technology,Small Box,Regular Air,2014-09-25,$1.84,$2.88,$1.04,45.0,$68.96,0.08,$0.60,$68.96,$0.99,$73.46
5034-1,2013-05-09,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-11,$3.32,$5.18,$1.86,37.0,$91.06,0.01,$7.30,$88.96,$2.04,$80.44
5034-1,2013-05-13,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-15,$3.32,$5.18,$1.86,35.0,$76.00,0.03,$6.80,$59.66,$2.04,$70.46
5034-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2013-02-22,$5.19,$12.98,$7.79,16.0,$225.32,0.1,$2.24,$221.20,$3.14,$233.76
5035-1,2013-04-30,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,2013-05-02,$377.99,$599.99,$222.00,35.0,"$2,065.80",0.05,$54.07,"$2,759.75",$24.49,"$2,761.25"
5036-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2013-03-10,$0.71,$1.14,$0.43,14.0,$57.00,0.02,$3.42,$53.58,$0.70,$54.28
5036-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,2013-03-10,$0.71,$1.14,$0.43,14.0,$57.00,0.0,$3.42,$53.58,$0.70,$54.28
5037-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,Furniture,Small Pack,Regular Air,2013-03-13,$3.42,$8.34,$4.92,32.0,$133.44,0.08,$4.00,$129.44,$2.64,$132.08
5037-1,2013-06-29,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-07-01,$3.42,$8.34,$4.92,11.0,$133.44,0.07,$4.00,$129.44,$2.64,$132.08
5037-1,2013-07-04,Sara Luxemburg,"103 Bins Street,Nindsor",Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2013-07-05,$4.79,$11.97,$7.18,10.0,$245.70,0.1,$27.26,$222.10,$5.81,$243.29
5037-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Express Air,2013-03-13,$2.50,$5.68,$3.18,50.0,$133.44,0.09,$4.00,$129.44,$3.60,$132.08
5038-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,2013-03-20,$3.52,$5.68,$2.16,34.0,$139.24,0.02,$9.68,$128.54,$1.39,$129.40
5039-1,2013-03-15,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,2013-03-16,$4.59,$7.28,$2.69,37.0,$160.16,0.04,$1.60,$158.56,$11.15,$169.71
5039-1,2013-05-31,Rick Duston,"144 Biutee Rd,Marrickville",Sydney,NSW,Consumer,Charlie Bui,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-05-31,$1.84,$2.88,$1.04,42.0,$130.66,0.0,$10.56,$121.02,$0.99,$122.85
5039-1,2014-08-07,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Furniture,Large Box,Regular Air,2014-08-09,$4.59,$7.28,$2.69,44.0,$186.52,0.08,$1.68,$168.06,$11.15,$169.71
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Large Box,Regular Air,2013-03-20,$1.30,$2.88,$1.58,46.0,$138.24,0.07,$9.68,$128.56,$1.01,$129.57
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Box,Express Air,2013-03-20,$1.30,$2.88,$1.58,8.0,$138.24,0.05,$9.68,$128.56,$1.01,$129.57
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Small Box,Regular Air,2013-03-20,$1.30,$2.88,$1.58,22.0,$138.24,0.02,$9.68,$128.56,$1.01,$129.57
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Pack,Express Air,2013-03-20,$1.30,$2.88,$1.58,32.0,$138.24,0.08,$9.68,$128.56,$1.01,$129.57
5041-1,2015-10-20,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,2015-10-24,$2.98,$5.84,$2.86,48.0,$7.20,0.08,$0.63,$7.64,$0.83,$10.71
5042-1,2013-04-30,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,2013-05-02,$5.19,$12.98,$7.79,49.0,$623.22,0.04,$56.09,$567.13,$3.14,$571.13
